Country,Segment,Date,observed_default_rate,observed_loss_rate,estimated_pd,estimated_lgd
India,Retail - Secured on real estate property,Mar-22,0.67%,,0.72%,18.81%
India,Retail - Qualifying Revolving,Mar-22,3.90%,49.51%,2.28%,54.05%
India,Retail - Other Retail,Mar-22,1.09%,60.27%,1.49%,45.05%
"Korea, Republic Of",Corporates,Mar-22,,,0.39%,40.00%
"Korea, Republic Of",Corporates - Of Which: Specialised Lending,Mar-22,,,0.59%,24.59%
"Korea, Republic Of",Corporates - Of Which: SME,Mar-22,,,1.46%,39.79%
"Korea, Republic Of",Retail,Mar-22,0.61%,,1.33%,43.81%
"Korea, Republic Of",Retail - Secured on real estate property,Mar-22,,,0.40%,15.03%
"Korea, Republic Of",Retail - Qualifying Revolving,Mar-22,,,0.66%,57.60%
"Korea, Republic Of",Retail - Other Retail,Mar-22,0.60%,,1.36%,44.62%
Russian Federation,Corporates,Mar-22,3.14%,21.73%,10.30%,39.50%
Russian Federation,Corporates - Of Which: Specialised Lending,Mar-22,,,14.16%,30.55%
Russian Federation,Corporates - Of Which: SME,Mar-22,,,3.52%,43.75%
Russian Federation,Retail,Mar-22,10.03%,11.55%,2.47%,22.58%
Russian Federation,Retail - Secured on real estate property,Mar-22,14.41%,11.20%,2.63%,21.63%
Russian Federation,Retail - Qualifying Revolving,Mar-22,2.13%,37.57%,2.02%,60.83%
Russian Federation,Retail - Other Retail,Mar-22,4.42%,21.67%,1.67%,19.15%
Singapore,Corporates,Mar-22,1.40%,,1.18%,30.06%
Singapore,Corporates - Of Which: Specialised Lending,Mar-22,,,1.71%,19.92%
Singapore,Corporates - Of Which: SME,Mar-22,,,4.37%,28.57%
Singapore,Retail,Mar-22,1.20%,9.39%,0.42%,11.63%
Singapore,Retail - Secured on real estate property,Mar-22,,,0.60%,15.30%
Singapore,Retail - Qualifying Revolving,Mar-22,,,0.91%,52.87%
Singapore,Retail - Other Retail,Mar-22,0.06%,,0.32%,9.61%
Switzerland,Corporates,Mar-22,0.79%,6.51%,1.51%,30.56%
Switzerland,Corporates - Of Which: Specialised Lending,Mar-22,,,2.78%,21.78%
Switzerland,Corporates - Of Which: SME,Mar-22,0.02%,,1.64%,27.93%
Switzerland,Retail,Mar-22,0.61%,8.19%,0.73%,20.73%
Switzerland,Retail - Secured on real estate property,Mar-22,0.32%,10.56%,0.74%,19.88%
Switzerland,Retail - Qualifying Revolving,Mar-22,0.67%,33.49%,2.07%,52.56%
Switzerland,Retail - Other Retail,Mar-22,2.44%,5.33%,1.03%,19.37%
United States,Corporates,Mar-22,0.58%,20.82%,1.12%,27.54%
United States,Corporates - Of Which: Specialised Lending,Mar-22,1.50%,12.26%,2.14%,20.51%
United States,Corporates - Of Which: SME,Mar-22,0.65%,8.85%,2.31%,20.55%
United States,Retail,Mar-22,2.69%,16.77%,2.04%,25.15%
United States,Retail - Secured on real estate property,Mar-22,0.97%,10.53%,1.01%,16.40%
United States,Retail - Qualifying Revolving,Mar-22,0.59%,31.77%,1.29%,58.53%
United States,Retail - Other Retail,Mar-22,3.17%,16.97%,2.32%,27.00%
Austria,Corporates,Dec-21,0.29%,28.07%,1.26%,34.37%
Austria,Corporates - Of Which: Specialised Lending,Dec-21,,,0.97%,19.42%
Austria,Corporates - Of Which: SME,Dec-21,0.83%,,2.48%,29.24%
Austria,Retail,Dec-21,0.59%,26.36%,1.48%,29.29%
Austria,Retail - Secured on real estate property,Dec-21,0.41%,6.85%,1.29%,15.44%
Austria,Retail - Qualifying Revolving,Dec-21,0.70%,54.80%,1.88%,86.74%
Austria,Retail - Other Retail,Dec-21,0.94%,38.53%,2.10%,50.74%
Belgium,Corporates,Dec-21,1.34%,19.28%,2.26%,26.30%
Belgium,Corporates - Of Which: Specialised Lending,Dec-21,,,1.12%,22.29%
Belgium,Corporates - Of Which: SME,Dec-21,1.43%,15.90%,2.46%,24.21%
Belgium,Retail,Dec-21,0.80%,9.47%,0.98%,16.85%
Belgium,Retail - Secured on real estate property,Dec-21,0.71%,3.67%,0.88%,13.24%
